Potential partners,Name,Website,Name,Submit form/email,phone number
Content,Christianity Today,http://www.christianitytoday.org/,Submit form…,http://www.christianitytoday.org/myaccount/?page=contact,+44 (0)20 7618 8934
,Christian Today,http://www.christiantoday.com/,Submit form…,http://www.christiantoday.com/contactus,
,Church Times,http://www.churchtimes.co.uk/,Justine Barrows - Marketing Manager,, 020 7776 1060
,Charisma Magazine,http://www.charismamag.com/,,webmaster@charismamedia.com / magcustsvc@charismamedia.com,US 407-333-0600
,Grace to You,http://www.gty.org/,,letters@gty.org,1-800-554-7223
,,,,,
,,,,,
,,,,,
Storage,Dropbox,https://www.dropbox.com/business,submit form,https://www.dropbox.com/business/contact,+44 20 3684 0180
,Tinypic,http://tinypic.com/,submit form,http://tinypic.com/contact.php,
,Photobucket,http://photobucket.com/,,can't find it….,
,Soundcloud,https://soundcloud.com/,email address,contact@soundcloud.com,
,Imageshack,https://imageshack.com/,submit form,https://imageshack.com/contact/customer_service,
